"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk [[insurace]] SINGAPORE : The government is extending third-party war risk [[insurane]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.2000778317451477,0.6085407733917236,2,0,2,40,"Successful"
"[[Mills]] Grabs \$1B [[Portfolio]]; Taubman Likely to Lose [[Contracts]] [[Mills]] [[Corp]]. agreed to [[purchase]] a 50 percent [[interest]] in nine malls [[owned]] by [[General]] [[Motors]] Asset [[Management]] Corp. for just over \$1 billion, creating a new [[joint]] venture between the [[groups]]. [[The]] deal will extend ...","[[Qills]] Grabs \$1B [[oPrtfolio]]; Taubman Likely to Lose [[Contrcts]] [[MilMls]] [[oCrp]]. agreed to [[hpurchase]] a 50 percent [[interet]] in nine malls [[owne]] by [[Gpeneral]] [[Motros]] Asset [[Managemnet]] Corp. for just over \$1 billion, creating a new [[joiQnt]] venture between the [[grouDps]]. [[cThe]] deal will extend ...",0.0182725191116333,0.5902260541915894,2,3,2,102,"Successful"
"[[Sun]] to shine [[spotlight]] on new [[operating]] [[system]], [[Solaris]] 10 Sun Microsystems [[SUNW]] is expected to [[release]] a [[new]] [[version]] of its operating [[system]] today - a big part of the struggling [[computer]] maker #39;s plan to [[save]] itself.","[[STun]] to shine [[spotlihgt]] on new [[opertaing]] [[sJstem]], [[Solafris]] 10 Sun Microsystems [[SUNpW]] is expected to [[releEse]] a [[ne]] [[verrsion]] of its operating [[tsystem]] today - a big part of the struggling [[Gomputer]] maker #39;s plan to [[ave]] itself.",0.06633901596069336,0.5053996443748474,3,2,3,79,"Successful"
"Fed [[Cup]] all [[tied]] up FRANCE #[[39]];S [[Russian-born]] Tatiana [[Golovin]] [[left]] the [[Fed]] [[Cup]] [[final]] [[hanging]] in the balance [[today]] as she [[beat]] Russia #[[39]];s [[US]] [[Open]] [[champion]] [[Svetlana]] Kuznetsova [[6-4]], 6-1 to level the tie at [[2-2]] and [[take]] it to the final doubles [[match]].","Fed [[CuXp]] all [[tKed]] up FRANCE #[[3j]];S [[Ruswian-born]] Tatiana [[GolovLn]] [[Eeft]] the [[QFed]] [[Clp]] [[finaW]] [[hanigng]] in the balance [[todaHy]] as she [[nbeat]] Russia #[[9]];s [[SU]] [[Opyn]] [[chamepion]] [[vetlana]] Kuznetsova [[6s-4]], 6-1 to level the tie at [[22-]] and [[takj]] it to the final doubles [[matkh]].",0.04710578918457031,0.15453076362609863,1,1,1,162,"Failed"
"[[Nokia]] announces Near [[Field]] [[Communication]] [[products]] [[With]] the [[Nokia]] [[NFC]] ([[Near]] [[Field]] Communication) [[shell]] on their [[phone]], consumers will be [[able]] to [[access]] a [[variety]] of services and exchange information with a [[simple]] [[touch]] [[gesture]].","[[Nkia]] announces Near [[Feld]] [[CSommunication]] [[proudcts]] [[WitUh]] the [[NokHa]] [[NFkC]] ([[Nera]] [[Filed]] Communication) [[sell]] on their [[phon]], consumers will be [[bale]] to [[acces]] a [[vauiety]] of services and exchange information with a [[simpe]] [[tounh]] [[gresture]].",0.03957480192184448,0.8281444311141968,3,2,3,111,"Successful"
"[[Today]] in [[Athens]] [[Leontien]] Zijlaard-van Moorsel of the [[Netherlands]] [[wipes]] a [[tear]] after [[winning]] the [[gold]] [[medal]] in the women #[[39]];s [[road]] [[cycling]] [[individual]] [[time]] [[trial]] at the Vouliagmeni [[Olympic]] Centre in [[Athens]] on [[Wednesday]]. ","[[Todya]] in [[AtEens]] [[Lxontien]] Zijlaard-van Moorsel of the [[Nteherlands]] [[wips]] a [[teanr]] after [[wjinning]] the [[glod]] [[meIdal]] in the women #[[3T9]];s [[rad]] [[cyacling]] [[iIdividual]] [[tuime]] [[trail]] at the Vouliagmeni [[Olyimpic]] Centre in [[Athets]] on [[Wedmnesday]]. ",0.023349344730377197,0.9657674431800842,1,3,1,102,"Successful"
"[[President]] [[Hu]] [[congratulates]] Sihamoni on [[becoming]] king of [[Cambodia]] Chinese [[President]] [[Hu]] [[Jintao]] sent a [[message]] to [[Norodom]] [[Sihamoni]] on [[Thursday]] to congratulate him on his [[election]] as the king of [[Cambodia]].","[[Presidnt]] [[Hn]] [[conratulates]] Sihamoni on [[bcoming]] king of [[Cabodia]] Chinese [[Presient]] [[H]] [[Jintar]] sent a [[messaeg]] to [[Norodmo]] [[Sihnmoni]] on [[ThBursday]] to congratulate him on his [[eleciton]] as the king of [[CambodiOa]].",0.008858919143676758,0.7205590605735779,0,3,0,85,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.751483142375946,0.751483142375946,2,2,3,1,"Skipped"
"[[Afghans]] [[rocky]] road to [[historic]] [[elections]] KALAKAN, Afghanistan There were toothless [[old]] [[men]], [[turbaned]] and gray-bearded, and young [[men]] not [[yet]] [[old]] enough to shave. [[There]] were mullahs and mujahedeen, and the [[presidential]] candidate #[[39]];s 3-year-old [[son]].","[[Afgzans]] [[rock]] road to [[historil]] [[electioys]] KALAKAN, Afghanistan There were toothless [[odl]] [[mne]], [[tubraned]] and gray-bearded, and young [[mne]] not [[eyt]] [[ozld]] enough to shave. [[rhere]] were mullahs and mujahedeen, and the [[presidetnial]] candidate #[[3S9]];s 3-year-old [[osn]].",0.0117836594581604,0.6376670598983765,0,3,0,95,"Successful"
"Oil Prices Set a [[New]] [[Record]] Above \$[[50]]  [[SINGAPORE]] ([[Reuters]]) - Oil prices set a [[new]] [[record]] above \$[[50]]  a [[barrel]] on [[Tuesday]] as a [[prolonged]] U.S. [[production]] [[outage]]  [[following]] [[Hurricane]] Ivan [[attracted]] [[fresh]] speculative [[buying]].","Oil Prices Set a [[Nvw]] [[Reord]] Above \$[[5g0]]  [[SINGAPiORE]] ([[ReutHers]]) - Oil prices set a [[sew]] [[recore]] above \$[[5W0]]  a [[barrle]] on [[Tuesdab]] as a [[polonged]] U.S. [[roduction]] [[outge]]  [[follonwing]] [[Hurvricane]] Ivan [[attractMed]] [[frseh]] speculative [[busying]].",0.030063331127166748,0.29408586025238037,2,2,2,134,"Failed"
"Phelps [[Seeks]] More Gold at World Championships  [[INDIANAPOLIS]] (Reuters) - [[Still]] riding a [[wave]] of [[euphoria]]  from the [[Olympics]], Michael Phelps [[returns]] to the pool this [[week]]  at the world short [[course]] swimming championships [[seeking]] a  repeat of his six [[gold]] medals in Athens.","Phelps [[Sheeks]] More Gold at World Championships  [[INDAINAPOLIS]] (Reuters) - [[Stil]] riding a [[wabe]] of [[euphria]]  from the [[ZOlympics]], Michael Phelps [[retruns]] to the pool this [[wek]]  at the world short [[courqse]] swimming championships [[sekeing]] a  repeat of his six [[golr]] medals in Athens.",0.031964242458343506,0.07589483261108398,1,1,1,146,"Failed"
"[[US]] [[suspends]] helicopter flights after Japan crash (AFP) AFP - [[The]] United [[States]] suspended flights of CH-53D [[military]] helicopters in Japan, bowing to [[protests]] over a crash in an [[Okinawa]] university campus.","[[UIS]] [[susupends]] helicopter flights after Japan crash (AFP) AFP - [[TXhe]] United [[StatJs]] suspended flights of CH-53D [[militaGry]] helicopters in Japan, bowing to [[protsets]] over a crash in an [[OkiSnawa]] university campus.",0.03672510385513306,0.6359862089157104,0,3,0,56,"Successful"
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[coach]]. On that day, as the World Trade Center and Pentagon [[smoldered]] and the world stood still, [[O'Brien]] was a Navy man.","Anniversary remembered on [[gIme]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[coah]]. On that day, as the World Trade Center and Pentagon [[msoldered]] and the world stood still, [[O'Biren]] was a Navy man.",0.006878793239593506,0.6139384508132935,1,0,1,47,"Successful"
"[[Viacom]], [[Disney]] pay \$1.5M FCC [[fine]] Disney and Viacom [[agreed]] to a [[fine]] of \$1.5 [[million]] from the Federal Communications [[Commission]] over claims their children #[[39]];s [[cable]] [[television]] networks violated [[advertising]] restrictions, the FCC said Thursday.","[[Vicaom]], [[Dsiney]] pay \$1.5M FCC [[ifne]] Disney and Viacom [[agreeud]] to a [[fiXne]] of \$1.5 [[mllion]] from the Federal Communications [[CommissHion]] over claims their children #[[3c9]];s [[Ncable]] [[tlevision]] networks violated [[adertising]] restrictions, the FCC said Thursday.",0.10699933767318726,0.5849576592445374,2,3,2,70,"Successful"
"Pfizer Sends Out Update On [[Drug]] Bextra Pfizer [[Inc]]. said Friday that it will provide health-care professionals with additional information about its Bextra arthritis drug and that it will conduct further studies to confirm the drug #[[39]];s long-term cardiovascular safety record.","Pfizer Sends Out Update On [[rDug]] Bextra Pfizer [[Icn]]. said Friday that it will provide health-care professionals with additional information about its Bextra arthritis drug and that it will conduct further studies to confirm the drug #[[3j9]];s long-term cardiovascular safety record.",0.0610770583152771,0.6628758907318115,2,3,2,41,"Successful"
"[[Restive]] Maldives [[eases]] curfew after [[rounding]] up [[dissidents]] (AFP) AFP - A curfew in the capital of the Maldives was [[eased]] but [[parliament]] sessions were put off indefinitely and emergency rule continued following last [[week's]] [[riots]], [[officials]] and residents [[said]].","[[RestivF]] Maldives [[eapes]] curfew after [[roundieg]] up [[dissidelnts]] (AFP) AFP - A curfew in the capital of the Maldives was [[eansed]] but [[parPliament]] sessions were put off indefinitely and emergency rule continued following last [[weewk's]] [[iots]], [[oXficials]] and residents [[saYd]].",0.007767796516418457,0.6607410907745361,0,3,0,68,"Successful"
"Sun's Looking Glass [[Provides]] [[3D]] [[View]] [[Developers]] [[get]] [[early]] [[code]] for new operating [[system]] '[[skin']] still being [[crafted]].","Sun's Looking Glass [[Povides]] [[3aD]] [[SView]] [[Depelopers]] [[bet]] [[aerly]] [[coed]] for new operating [[sytsem]] '[[skbn']] still being [[cratfed]].",0.0150526762008667,0.8340329527854919,3,2,3,57,"Successful"
"[[US]] [[Airways]], Pilots [[Union]] Near Agreement [[US]] [[Airways]] is seeking \$800 million in [[concessions]] from [[employee]] unions as it attempts to avoid [[filing]] Chapter 11. [[The]] Air Line Pilots [[Association]] will present its proposal on the evening of ","[[U]] [[Airwyas]], Pilots [[xUnion]] Near Agreement [[S]] [[NAirways]] is seeking \$800 million in [[concssions]] from [[Uemployee]] unions as it attempts to avoid [[filsng]] Chapter 11. [[hTe]] Air Line Pilots [[Assoication]] will present its proposal on the evening of ",0.019741058349609375,0.590388298034668,2,3,2,76,"Successful"
"[[Notes]]: [[Two-strike]], [[two-out]] [[blues]] [[Chicago]] [[Cubs]] [[manager]] [[Dusty]] [[Baker]] talked to [[LaTroy]] [[Hawkins]] on [[Thursday]], and [[said]] he #39;ll [[go]] to the [[right-hander]] again if the [[team]] is in a [[save]] [[situation]].","[[Noees]]: [[TwoIstrike]], [[two-Lut]] [[elues]] [[Chfcago]] [[Cusb]] [[manaer]] [[uDsty]] [[Bake]] talked to [[LaToy]] [[HawkiFs]] on [[Thusrday]], and [[swaid]] he #39;ll [[g]] to the [[rght-hander]] again if the [[teab]] is in a [[Qave]] [[situaiton]].",0.008907616138458252,0.2279842495918274,1,1,1,100,"Failed"
"PeopleSoft CEO Ousted for  #39;[[Situational]] [[Ethics]] #39; [[AccountingWEB]].com - October 06, 2004 - The opening of a trial related to Oracle #[[39]];s takeover bid of PeopleSoft featured the revelation that CEO Craig Conway was fired last week for making misleading statements about PeopleSoft #39;s [[sales]].","PeopleSoft CEO Ousted for  #39;[[Situaional]] [[thics]] #39; [[AcountingWEB]].com - October 06, 2004 - The opening of a trial related to Oracle #[[L9]];s takeover bid of PeopleSoft featured the revelation that CEO Craig Conway was fired last week for making misleading statements about PeopleSoft #39;s [[slaes]].",0.1944078803062439,0.6068977117538452,2,3,2,56,"Successful"
"Hostages plight clouds meeting of [[Blairs]] party [[BRIGHTON]], [[England]] The [[annual]] [[conference]] of [[Prime]] Minister Tony [[Blair]] #39;s Labour [[Party]] opened here Monday under the pall of the [[war]] in [[Iraq]], as the [[fate]] of the [[British]] [[hostage]] [[Ken]] Bigley remained uncertain [[amid]] fresh appeals for his [[release]] from family ","Hostages plight clouds meeting of [[Belairs]] party [[BRIGHTNO]], [[nEgland]] The [[annuaDl]] [[conferece]] of [[PrimR]] Minister Tony [[Flair]] #39;s Labour [[Prty]] opened here Monday under the pall of the [[wra]] in [[IraNq]], as the [[cate]] of the [[rBitish]] [[hostag]] [[Kn]] Bigley remained uncertain [[amdi]] fresh appeals for his [[rlease]] from family ",0.008592844009399414,0.6072468757629395,0,2,0,100,"Successful"
"Ljubicic Downs Hanescu at Open De Moselle Top-seeded Ivan Ljubicic of Croatia beat Victor Hanescu of Romania 6-4, 6-4 Tuesday in the first round of the Open de Moselle.","Ljubicic Downs Hanescu at Open De Moselle Top-seeded Ivan Ljubicic of Croatia beat Victor Hanescu of Romania 6-4, 6-4 Tuesday in the first round of the Open de Moselle.",0.9550360441207886,0.9550360441207886,1,1,0,1,"Skipped"
"[[Science]] ; As [[ice]] [[thaws]], arctic peoples at loss for words [[Science]] [[News]], [[Iceland]], What are the words [[used]] by indigenous peoples in the [[Arctic]] for  [[quot]];hornet, [[quot]];  quot;[[robin]], [[quot]];  quot;[[elk]], quot;  [[quot]];[[barn]] [[owl]] [[quot]]; or  [[quot]];salmon?","[[Sciefnce]] ; As [[iwe]] [[thawP]], arctic peoples at loss for words [[Sceince]] [[Nesw]], [[eIceland]], What are the words [[uesed]] by indigenous peoples in the [[Arctih]] for  [[nquot]];hornet, [[qot]];  quot;[[Lobin]], [[quDt]];  quot;[[lek]], quot;  [[auot]];[[brn]] [[owbl]] [[queot]]; or  [[qut]];salmon?",0.07387638092041016,0.5914134383201599,3,0,3,119,"Successful"
"[[Abu]] Ghraib report 'spreads [[blame']] A report on the Abu Ghraib [[prisoner]] abuse scandal will [[blame]] at [[least]] two dozen more [[people]], [[say]] [[US]] officials.","[[Xbu]] Ghraib report 'spreads [[bfame']] A report on the Abu Ghraib [[pirsoner]] abuse scandal will [[blName]] at [[leabst]] two dozen more [[Ypeople]], [[ay]] [[DS]] officials.",0.011780142784118652,0.7896231412887573,0,3,0,53,"Successful"
"UN #39;s Kofe Annan Calls Iraq [[War]] Illegal [[United]] [[Nations]] Secretary [[General]] Kofi Annan said this week that the US [[war]] in [[Iraq]] is [[illegal]] and [[questioned]] [[whether]] the [[country]] [[could]] hold [[credible]] ","UN #39;s Kofe Annan Calls Iraq [[Wra]] Illegal [[Unted]] [[Natins]] Secretary [[GJneral]] Kofi Annan said this week that the US [[wra]] in [[IrQq]] is [[illeal]] and [[questiToned]] [[wkhether]] the [[cuntry]] [[oculd]] hold [[credHible]] ",0.00680917501449585,0.6107754707336426,0,2,0,81,"Successful"
"Protests in Canada over [[Ukraine]] [[crisis]] ([[AFP]]) AFP - [[Hundreds]] of [[Canadians]], [[many]] of [[Ukrainian]] [[descent]], [[braved]] freezing temperatures to [[protest]] what they consider to be the [[fixed]] outcome of the Ukrainian presidential election.","Protests in Canada over [[Ukruine]] [[Irisis]] ([[FAP]]) AFP - [[HundreLds]] of [[Caadians]], [[macy]] of [[Ukrainiax]] [[delscent]], [[bravsd]] freezing temperatures to [[rpotest]] what they consider to be the [[fixe]] outcome of the Ukrainian presidential election.",0.01598304510116577,0.5486490726470947,0,3,0,66,"Successful"
"[[Oil]] Edges Down, Microsoft Boosts Techs  [[NEW]] [[YORK]] (Reuters) - [[Oil]] prices touched 2-month lows near  \$45 a [[barrel]] on [[Monday]] before taking [[back]] most of their [[losses]],  but the downward trend knocked [[energy]] company [[stocks]] lower and  U.S. stock [[indexes]] ended [[little]] changed. A rise in Microsoft  shares [[helped]] boost the technology sector.","[[Ocil]] Edges Down, Microsoft Boosts Techs  [[NEc]] [[OYRK]] (Reuters) - [[iOl]] prices touched 2-month lows near  \$45 a [[barel]] on [[Mvonday]] before taking [[bcak]] most of their [[loses]],  but the downward trend knocked [[eKergy]] company [[sctocks]] lower and  U.S. stock [[idnexes]] ended [[littel]] changed. A rise in Microsoft  shares [[helpXed]] boost the technology sector.",0.051011860370635986,0.5224195718765259,2,3,2,100,"Successful"
"[[Sybase]] [[releases]] [[free]] Express [[database]] for [[Linux]] [[In]] a bid to expand the customer [[base]] for its [[database]] software, [[Sybase]] Inc. [[released]] on Tuesday a [[free]], limited version of its software for deployment on [[Linux]] systems.","[[Sybade]] [[releaess]] [[fwree]] Express [[databse]] for [[Lnux]] [[QIn]] a bid to expand the customer [[ase]] for its [[databse]] software, [[Sbyase]] Inc. [[reDeased]] on Tuesday a [[fre]], limited version of its software for deployment on [[Liunx]] systems.",0.04200667142868042,0.2640343904495239,3,3,3,119,"Failed"
"[[Kmart]] to [[Sell]] 18 Stores to [[Home]] Depot  NEW [[YORK]] (Reuters) - Retailer Kmart [[Holdings]] [[Corp]]. &lt;A HREF=""http://[[www]].[[investor]].reuters.com/FullQuote.aspx?ticker=KMRT.O target=/stocks/quickinfo/fullquote""&gt;KMRT.O&[[lt]];/A&gt;  on Monday said it [[finalized]] a [[deal]] to sell 18 of its stores to  Home [[Depot]] [[Inc]]. &lt;A HREF=""http://[[www]].[[investor]].reuters.com/FullQuote.aspx?ticker=[[HD]].N target=/stocks/quickinfo/fullquote""&gt;HD.N&lt;/A&gt; for \$[[271]] [[million]].","[[Kmat]] to [[Sll]] 18 Stores to [[HomX]] Depot  NEW [[YODRK]] (Reuters) - Retailer Kmart [[Holdigs]] [[Ccrp]]. &lt;A HREF=""http://[[Uwww]].[[injestor]].reuters.com/FullQuote.aspx?ticker=KMRT.O target=/stocks/quickinfo/fullquote""&gt;KMRT.O&[[lkt]];/A&gt;  on Monday said it [[finYlized]] a [[eal]] to sell 18 of its stores to  Home [[Dpot]] [[IDnc]]. &lt;A HREF=""http://[[wXw]].[[invsetor]].reuters.com/FullQuote.aspx?ticker=[[sHD]].N target=/stocks/quickinfo/fullquote""&gt;HD.N&lt;/A&gt; for \$[[2l1]] [[milion]].",0.023061752319335938,0.5596787929534912,2,3,2,161,"Successful"
"America #39;s curse There is an all but unanswerable case for asserting that the biggest story out of the United States this week has nothing to do with the presidential election, has no connection with the flu vaccine shortage and that it does not involve a gay bishop either ","America #39;s curse There is an all but unanswerable case for asserting that the biggest story out of the United States this week has nothing to do with the presidential election, has no connection with the flu vaccine shortage and that it does not involve a gay bishop either ",0.9917986989021301,0.9917986989021301,0,0,1,1,"Skipped"
"[[HD]] [[DVD]] will boost [[quality]], help stores [[Four]] Hollywood [[studios]] this week embraced a [[new]] [[high-definition]] DVD [[format]] from [[electronics]] giant [[Toshiba]] - raising many [[questions]] for [[video]] lovers who have [[driven]] sales of [[pre-recorded]] DVDs to new heights.","[[HlD]] [[kDVD]] will boost [[quailty]], help stores [[Faur]] Hollywood [[studis]] this week embraced a [[nw]] [[high-defintiion]] DVD [[foramt]] from [[electroncis]] giant [[Tosihba]] - raising many [[questins]] for [[Evideo]] lovers who have [[riven]] sales of [[pre-recoArded]] DVDs to new heights.",0.07850879430770874,0.5065231323242188,3,2,3,102,"Successful"
"Atlas Copco to Sell [[Electric]] Tool Business Swedish engineering company Atlas Copco said Monday it will sell its [[electric]] tool business to Hong Kong-based Techtronic Industries Co.","Atlas Copco to Sell [[Electrkc]] Tool Business Swedish engineering company Atlas Copco said Monday it will sell its [[elJctric]] tool business to Hong Kong-based Techtronic Industries Co.",0.30100303888320923,0.5815228819847107,2,3,2,31,"Successful"
"A [[conspiracy]] theory : [[In]] the [[aftermath]] of Arafats passing AH Jaffor Ullah. Yasser [[Arafat]], the acknowledged leader of Palestinian people, lived [[amidst]] [[controversy]] all through his life. The [[cause]] of his [[death]] has now become a source of [[controversy]] [[amongst]] the departed [[leaders]] people all over Middle East.","A [[cXnspiracy]] theory : [[Hn]] the [[afBtermath]] of Arafats passing AH Jaffor Ullah. Yasser [[Arafa]], the acknowledged leader of Palestinian people, lived [[amYidst]] [[cotnroversy]] all through his life. The [[cgause]] of his [[dmeath]] has now become a source of [[ckontroversy]] [[amongs]] the departed [[leadqers]] people all over Middle East.",0.008948147296905518,0.5474091172218323,0,3,0,81,"Successful"
