"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk [[assurance]] SINGAPORE : The government is extending third-party war risk [[security]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.00051116943359375,0.9329254627227783,2,0,2,62,"Successful"
"Mills [[Grabs]] \$[[1B]] Portfolio; Taubman [[Likely]] to Lose [[Contracts]] Mills Corp. agreed to [[purchase]] a [[50]] [[percent]] interest in [[nine]] [[malls]] owned by General Motors [[Asset]] [[Management]] [[Corp]]. for just over \$1 [[billion]], creating a [[new]] joint [[venture]] between the groups. The [[deal]] will extend ...","Mills [[Grab]] \$[[lB]] Portfolio; Taubman [[Might]] to Lose [[Contractѕ]] Mills Corp. agreed to [[purchasing]] a [[Ƽ0]] [[percentage]] interest in [[nіne]] [[mals]] owned by General Motors [[Possessions]] [[Managemen𝚝]] [[Eilat]]. for just over \$1 [[bilⅼion]], creating a [[nouveau]] joint [[business]] between the groups. The [[addressing]] will extend ...",0.00035369396209716797,0.018109023571014404,2,2,2,351,"Failed"
"Sun to shine spotlight on new operating system, Solaris 10 Sun Microsystems SUNW is [[expected]] to release a [[new]] version of its operating system [[today]] - a big part of the struggling [[computer]] maker #39;s [[plan]] to save itself.","Sun to shine spotlight on new operating system, Solaris 10 Sun Microsystems SUNW is [[waited]] to release a [[newer]] version of its operating system [[monday]] - a big part of the struggling [[calculators]] maker #39;s [[plɑn]] to save itself.",0.0437542200088501,0.5159693956375122,3,2,3,94,"Successful"
"[[Fed]] Cup all tied up [[FRANCE]] #39;[[S]] [[Russian-born]] [[Tatiana]] [[Golovin]] left the Fed [[Cup]] [[final]] hanging in the [[balance]] today as she [[beat]] [[Russia]] #39;s US Open [[champion]] [[Svetlana]] [[Kuznetsova]] [[6-4]], 6-1 to level the tie at 2-2 and take it to the [[final]] [[doubles]] match.","[[F]] [[ed]] Cup all tied up [[FRANCIE]] #39;[[n]] [[Russіan-born]] [[Svetlana]] [[Goovin]] left the Fed [[Taza]] [[latter]] hanging in the [[baalnce]] today as she [[bea𝚝]] [[Rsusia]] #39;s US Open [[champions]] [[Sve𝚝lana]] [[Kuznetsоva]] [[6˗4]], 6-1 to level the tie at 2-2 and take it to the [[latter]] [[double]] match.",6.520748138427734e-05,0.00023049116134643555,1,1,1,189,"Failed"
"[[Nokia]] [[announces]] Near [[Field]] [[Communication]] [[products]] With the Nokia [[NFC]] (Near Field [[Communication]]) shell on their [[phone]], consumers will be able to access a variety of services and exchange information with a [[simple]] [[touch]] gesture.","[[Blackberry]] [[announced]] Near [[Campos]] [[Communications]] [[рroducts]] With the Nokia [[N]] [[FC]] (Near Field [[Cоmmunication]]) shell on their [[phones]], consumers will be able to access a variety of services and exchange information with a [[siple]] [[touches]] gesture.",0.00018900632858276367,0.5068359375,3,2,3,146,"Successful"
"Today in Athens [[Leontien]] Zijlaard-van Moorsel of the [[Netherlands]] wipes a tear after winning the [[gold]] [[medal]] in the women #[[39]];s road [[cycling]] [[individual]] time trial at the Vouliagmeni [[Olympic]] Centre in Athens on [[Wednesday]]. ","Today in Athens [[Leontіen]] Zijlaard-van Moorsel of the [[Netherlandѕ]] wipes a tear after winning the [[gilded]] [[decorations]] in the women #[[3৭]];s road [[cycⅼing]] [[person]] time trial at the Vouliagmeni [[Olуmpic]] Centre in Athens on [[Wednesԁay]]. ",0.00013065338134765625,0.005657076835632324,1,1,1,146,"Failed"
"President Hu [[congratulates]] Sihamoni on [[becoming]] [[king]] of [[Cambodia]] [[Chinese]] [[President]] [[Hu]] Jintao [[sent]] a [[message]] to [[Norodom]] [[Sihamoni]] on [[Thursday]] to congratulate him on his election as the king of [[Cambodia]].","President Hu [[applauds]] Sihamoni on [[bceoming]] [[𝒌ing]] of [[Cambdoia]] [[Chino]] [[Chairman]] [[Chu]] Jintao [[set]] a [[messɑge]] to [[Norodоm]] [[Sihɑmoni]] on [[Th]] [[ursday]] to congratulate him on his election as the king of [[Vietnam]].",0.0002810359001159668,0.5356262922286987,0,2,0,207,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised [[computer-based]] program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised [[ϲomputer-based]] program using personal information to identify airline passengers who may pose a threat to air travel.",0.28584998846054077,0.6595916748046875,3,2,3,45,"Successful"
"[[Afghans]] rocky road to [[historic]] [[elections]] KALAKAN, [[Afghanistan]] There were toothless old men, turbaned and gray-bearded, and young men not yet old enough to shave. There were [[mullahs]] and [[mujahedeen]], and the presidential candidate #39;s 3-year-old son.","[[Afhans]] rocky road to [[history]] [[еlections]] KALAKAN, [[Afghanis𝚝an]] There were toothless old men, turbaned and gray-bearded, and young men not yet old enough to shave. There were [[mullɑhs]] and [[mujaheԁeen]], and the presidential candidate #39;s 3-year-old son.",0.00024455785751342773,0.604612410068512,0,1,0,116,"Successful"
"Oil Prices Set a New Record [[Above]] \$50  SINGAPORE ([[Reuters]]) - Oil prices [[set]] a [[new]] [[record]] above \$50  a [[barrel]] on [[Tuesday]] as a [[prolonged]] [[U]].[[S]]. production outage  [[following]] [[Hurricane]] [[Ivan]] attracted fresh speculative buying.","Oil Prices Set a New Record [[Supra]] \$50  SINGAPORE ([[Journalist]]) - Oil prices [[sets]] a [[novel]] [[recorԁ]] above \$50  a [[barrеl]] on [[Tue]] [[sday]] as a [[proloոged]] [[oder]].[[with]]. production outage  [[folloԝing]] [[Cyclone]] [[Ivana]] attracted fresh speculative buying.",0.0002486109733581543,0.6839888691902161,2,0,2,215,"Successful"
"Sun's Looking Glass [[Provides]] 3D [[View]] Developers get early code for new operating [[system]] '[[skin']] still being [[crafted]].","Sun's Looking Glass [[Affords]] 3D [[Visualizing]] Developers get early code for new operating [[systems]] '[[skin`]] still being [[crafed]].",0.0008358955383300781,0.10384458303451538,3,3,3,106,"Failed"
"[[Phelps]] [[Seeks]] More [[Gold]] at [[World]] [[Championships]]  [[INDIANAPOLIS]] ([[Reuters]]) - [[Still]] riding a wave of euphoria  from the [[Olympics]], Michael Phelps returns to the pool this week  at the world short [[course]] [[swimming]] [[championships]] seeking a  repeat of his [[six]] [[gold]] medals in Athens.","[[Phelpѕ]] [[Strives]] More [[Oro]] at [[Worlԁ]] [[Trophy]]  [[INDI]] [[ANAPOLIS]] ([[Journalist]]) - [[Stilⅼ]] riding a wave of euphoria  from the [[Olympians]], Michael Phelps returns to the pool this week  at the world short [[cuorse]] [[swim]] [[championshipѕ]] seeking a  repeat of his [[vi]] [[oro]] medals in Athens.",8.356571197509766e-05,0.003933846950531006,1,1,1,270,"Failed"
"[[US]] suspends [[helicopter]] [[flights]] after [[Japan]] [[crash]] ([[AFP]]) [[AFP]] - [[The]] United [[States]] suspended flights of CH-53D [[military]] helicopters in Japan, bowing to protests over a crash in an [[Okinawa]] university campus.","[[AMERICANS]] suspends [[helo]] [[stealing]] after [[Osaka]] [[collide]] ([[A]] [[FP]]) [[AP]] - [[Tհe]] United [[S]] [[tates]] suspended flights of CH-53D [[mіlitary]] helicopters in Japan, bowing to protests over a crash in an [[Japans]] university campus.",0.0002180933952331543,0.7471747398376465,0,1,0,143,"Successful"
